municipality,house_district,house_member,senate_district,senate_member,congressional_district,congress_member
SAXTON BOROUGH,78,TOPPER - R,35,LANGERHOLC - R,13,JOYCE - R
SCHELLSBURG BOROUGH,69,METZGAR - R,35,LANGERHOLC - R,13,JOYCE - R
SNAKE SPRING TWP,78,TOPPER - R,35,LANGERHOLC - R,13,JOYCE - R
SOUTH WOODBURY TWP,78,TOPPER - R,35,LANGERHOLC - R,13,JOYCE - R
SOUTHAMPTON TWP,78,TOPPER - R,35,LANGERHOLC - R,13,JOYCE - R
ST. CLAIRSVILLE BOROUGH,78,TOPPER - R,35,LANGERHOLC - R,13,JOYCE - R
WEST PROVIDENCE TWP,78,TOPPER - R,35,LANGERHOLC - R,13,JOYCE - R
WEST ST. CLAIR TWP,69,METZGAR - R,35,LANGERHOLC - R,13,JOYCE - R
WOODBURY BOROUGH,78,TOPPER - R,35,LANGERHOLC - R,13,JOYCE - R
WOODBURY TWP,78,TOPPER - R,35,LANGERHOLC - R,13,JOYCE - R
ADAMSTOWN BOROUGH,129,COX - R,29,ARGALL - R,6,HOULAHAN - D
ALBANY TWP,124,KNOWLES - R,29,ARGALL - R,9,MEUSER - R
ALSACE TWP,5,JOZWIAK - R,11,SCHWANK - D,6,HOULAHAN - D
AMITY TWP,130,MALONEY - R,44,MUTH - D,9,MEUSER - R
BALLY BOROUGH,130,MALONEY - R,24,MENSCH - R,4,DEAN - D
BECHTELSVILLE BOROUGH,130,MALONEY - R,24,MENSCH - R,4,DEAN - D
BERN TWP,5,JOZWIAK - R,11,SCHWANK - D,9,MEUSER - R
BERNVILLE BOROUGH,5,JOZWIAK - R,29,ARGALL - R,9,MEUSER - R
BETHEL TWP,5,JOZWIAK - R,29,ARGALL - R,9,MEUSER - R
BIRDSBORO BOROUGH,130,MALONEY - R,11,SCHWANK - D,6,HOULAHAN - D
BOYERTOWN BOROUGH,130,MALONEY - R,24,MENSCH - R,4,DEAN - D
BRECKNOCK TWP,128,GILLEN - R,11,SCHWANK - D,6,HOULAHAN - D
CAERNARVON TWP,128,GILLEN - R,11,SCHWANK - D,6,HOULAHAN - D
CENTERPORT BOROUGH,5,JOZWIAK - R,11,SCHWANK - D,9,MEUSER - R
CENTRE TWP,5,JOZWIAK - R,11,SCHWANK - D,9,MEUSER - R
COLEBROOKDALE TWP,130,MALONEY - R,24,MENSCH - R,4,DEAN - D
CUMRU TWP,128,GILLEN - R,11,SCHWANK - D,6,HOULAHAN - D
DISTRICT TWP,130,MALONEY - R,24,MENSCH - R,4,DEAN - D
DISTRICT TWP,130,MALONEY - R,24,MENSCH - R,9,MEUSER - R
DOUGLASS TWP,130,MALONEY - R,44,MUTH - D,4,DEAN - D
EARL TWP,130,MALONEY - R,24,MENSCH - R,9,MEUSER - R
EXETER TWP,5,JOZWIAK - R,11,SCHWANK - D,6,HOULAHAN - D
EXETER TWP,128,GILLEN - R,11,SCHWANK - D,6,HOULAHAN - D
EXETER TWP,130,MALONEY - R,11,SCHWANK - D,6,HOULAHAN - D
EXETER TWP,5,JOZWIAK - R,11,SCHWANK - D,9,MEUSER - R
EXETER TWP,130,MALONEY - R,11,SCHWANK - D,9,MEUSER - R
FLEETWOOD BOROUGH,5,JOZWIAK - R,11,SCHWANK - D,9,MEUSER - R
GREENWICH TWP,124,KNOWLES - R,29,ARGALL - R,9,MEUSER - R
HAMBURG BOROUGH,124,KNOWLES - R,29,ARGALL - R,9,MEUSER - R
HEIDELBERG TWP,129,COX - R,29,ARGALL - R,9,MEUSER - R
HEREFORD TWP,134,MACKENZIE - R,24,MENSCH - R,9,MEUSER - R
JEFFERSON TWP,5,JOZWIAK - R,29,ARGALL - R,9,MEUSER - R
KENHORST BOROUGH,127,CALTAGIRONE - D,11,SCHWANK - D,6,HOULAHAN - D
KUTZTOWN BOROUGH,187,DAY - R,11,SCHWANK - D,9,MEUSER - R
LAURELDALE BOROUGH,126,ROZZI - D,11,SCHWANK - D,9,MEUSER - R
LEESPORT BOROUGH,5,JOZWIAK - R,11,SCHWANK - D,9,MEUSER - R
LENHARTSVILLE BOROUGH,124,KNOWLES - R,29,ARGALL - R,9,MEUSER - R
LONGSWAMP TWP,134,MACKENZIE - R,24,MENSCH - R,9,MEUSER - R
LOWER ALSACE TWP,126,ROZZI - D,11,SCHWANK - D,6,HOULAHAN - D
LOWER HEIDELBERG TWP,129,COX - R,29,ARGALL - R,9,MEUSER - R
LYONS BOROUGH,187,DAY - R,11,SCHWANK - D,9,MEUSER - R
MAIDENCREEK TWP,5,JOZWIAK - R,29,ARGALL - R,9,MEUSER - R
MARION TWP,5,JOZWIAK - R,29,ARGALL - R,9,MEUSER - R
MAXATAWNY TWP,187,DAY - R,11,SCHWANK - D,9,MEUSER - R
MOHNTON BOROUGH,128,GILLEN - R,11,SCHWANK - D,6,HOULAHAN - D
MOUNT PENN BOROUGH,126,ROZZI - D,11,SCHWANK - D,6,HOULAHAN - D
MUHLENBERG TWP,126,ROZZI - D,11,SCHWANK - D,6,HOULAHAN - D
MUHLENBERG TWP,126,ROZZI - D,11,SCHWANK - D,9,MEUSER - R
NEW MORGAN BOROUGH,128,GILLEN - R,11,SCHWANK - D,6,HOULAHAN - D
NORTH HEIDELBERG TWP,129,COX - R,29,ARGALL - R,9,MEUSER - R
OLEY TWP,130,MALONEY - R,11,SCHWANK - D,9,MEUSER - R
ONTELAUNEE TWP,5,JOZWIAK - R,29,ARGALL - R,9,MEUSER - R
PENN TWP,5,JOZWIAK - R,29,ARGALL - R,9,MEUSER - R
PERRY TWP,124,KNOWLES - R,29,ARGALL - R,9,MEUSER - R
PIKE TWP,130,MALONEY - R,24,MENSCH - R,9,MEUSER - R
READING CITY,126,ROZZI - D,11,SCHWANK - D,6,HOULAHAN - D
READING CITY,127,CALTAGIRONE - D,11,SCHWANK - D,6,HOULAHAN - D
RICHMOND TWP,134,MACKENZIE - R,11,SCHWANK - D,9,MEUSER - R
ROBESON TWP,128,GILLEN - R,11,SCHWANK - D,6,HOULAHAN - D
ROBESONIA BOROUGH,129,COX - R,29,ARGALL - R,9,MEUSER - R
ROCKLAND TWP,134,MACKENZIE - R,24,MENSCH - R,9,MEUSER - R
RUSCOMBMANOR TWP,5,JOZWIAK - R,11,SCHWANK - D,9,MEUSER - R
SHILLINGTON BOROUGH,128,GILLEN - R,11,SCHWANK - D,6,HOULAHAN - D
SHOEMAKERSVILLE BOROUGH,124,KNOWLES - R,29,ARGALL - R,9,MEUSER - R
SINKING SPRING BOROUGH,129,COX - R,29,ARGALL - R,6,HOULAHAN - D
SOUTH HEIDELBERG TWP,129,COX - R,29,ARGALL - R,9,MEUSER - R
SPRING TWP,129,COX - R,29,ARGALL - R,6,HOULAHAN - D
ST. LAWRENCE BOROUGH,126,ROZZI - D,11,SCHWANK - D,6,HOULAHAN - D
TILDEN TWP,124,KNOWLES - R,29,ARGALL - R,9,MEUSER - R
TOPTON BOROUGH,134,MACKENZIE - R,11,SCHWANK - D,9,MEUSER - R
TULPEHOCKEN TWP,5,JOZWIAK - R,29,ARGALL - R,9,MEUSER - R
UNION TWP,130,MALONEY - R,44,MUTH - D,6,HOULAHAN - D
UPPER BERN TWP,5,JOZWIAK - R,29,ARGALL - R,9,MEUSER - R
UPPER TULPEHOCKEN TWP,5,JOZWIAK - R,29,ARGALL - R,9,MEUSER - R
WASHINGTON TWP,130,MALONEY - R,24,MENSCH - R,6,HOULAHAN - D
WERNERSVILLE BOROUGH,129,COX - R,29,ARGALL - R,9,MEUSER - R
WEST READING BOROUGH,126,ROZZI - D,11,SCHWANK - D,6,HOULAHAN - D
